종목코드,종목명,PER,시세변화율(%)
060980,한라홀딩스,8.69,-25.942857142857143
024890,대원화성,8.72,37.46556473829201
025000,KPX케미칼,8.73,-8.01526717557252
001720,신영증권,8.74,-6.610169491525424
001390,KG케미칼,8.78,239.08045977011494
000700,유수홀딩스,8.78,7.596899224806202
005810,풍산홀딩스,8.83,13.877551020408163
014530,극동유화,8.86,12.139605462822459
004020,현대제철,8.93,-17.34806629834254
004960,한신공영,8.98,-52.916666666666664
004800,효성,8.98,34.8
003780,진양산업,9.0,27.480916030534353
039490,키움증권,9.0,33.887468030690535
078000,텔코웨어,9.0,-27.84313725490196
016360,삼성증권,9.01,10.793650793650794
023000,삼원강재,9.13,16.725352112676056
019440,세아특수강,9.17,21.476510067114095
008350,남선알미늄,9.19,-16.431095406360424
014130,한익스프레스,9.21,34.407364787111625
226320,잇츠스킨,9.22,-40.52141527001862
020000,한섬,9.23,-31.310344827586206
002150,도화엔지니어링,9.25,-1.2716763005780347
005850,에스엘,9.25,56.8922305764411
006800,미래에셋대우,9.27,6.1255742725880555
034300,신세계건설,9.28,-22.46346555323591
194370,제이에스코퍼레이션,9.29,17.90909090909091
006090,사조오양,9.33,-19.321685508735868
012030,동부,9.36,159.92779783393502
088350,한화생명,9.36,-41.58767772511848
005320,국동,9.42,-54.60966542750929
005190,동성화학,9.48,-54.60966542750929
013580,계룡건설,9.64,-20.689655172413794
021960,KB캐피탈,9.66,-20.689655172413794
002920,유성기업,9.66,0.5154639175257731
055550,신한지주,9.95,-9.469696969696969
016800,퍼시스,10.02,-3.583061889250814
