종목코드,종목명,PBR,시세변화율(%)
005720,넥센,0.62,-23.90909090909091
079660,사조해표,0.62,-23.90909090909091
200880,서연이화,0.62,208.76404494382024
067830,세이브존I&C,0.62,-18.922852983988356
085310,엔케이,0.62,-42.13649851632047
100250,진양홀딩스,0.62,19.48051948051948
088350,한화생명,0.62,-41.58767772511848
002460,화성산업,0.62,-30.06896551724138
090350,노루페인트,0.63,1.9441069258809234
014710,사조씨푸드,0.63,-14.984227129337539
004980,성신양회,0.63,-13.949579831932773
018470,조일알미늄,0.63,295.0617283950617
025530,SJM홀딩스,0.64,-6.2773722627737225
019440,세아특수강,0.64,21.476510067114095
029530,신도리코,0.64,-24.618736383442265
010060,OCI,0.65,11.401869158878505
072710,농심홀딩스,0.65,0.4291845493562232
001430,세아베스틸,0.65,33.61581920903955
005820,원림,0.65,25.469168900804288
005380,현대차,0.65,60.675105485232066
123700,SJM,0.66,15.728476821192054
004890,동일산업,0.66,275.21514629948365
014580,백광소재,0.66,205.0
010140,삼성중공업,0.66,-22.941970310391362
003720,삼영화학,0.66,395.77804583835945
005810,풍산홀딩스,0.66,13.877551020408163
071970,STX중공업,0.67,1.5873015873015872
002710,TCC동양,0.67,1970.0
007690,국도화학,0.67,-2.3001095290251916
006800,미래에셋대우,0.67,6.1255742725880555
029780,삼성카드,0.67,-12.011577424023155
000670,영풍,0.67,-20.0
003070,코오롱글로벌,0.67,109.1164095371669
105560,KB금융,0.68,7.741935483870968
015590,대경기계,0.68,-10.1364522417154
012800,대창,0.68,68.32432432432432
000390,삼화페인트,0.68,-7.803468208092486
004170,신세계,0.68,-19.7265625
090370,아비스타,0.68,46.71916010498688
000480,조선내화,0.68,-85.74850299401197
,한국내화,0.68,-85.74850299401197
079980,휴비스,0.68,-32.090545938748335
004840,DRB동일,0.69,-32.77439024390244
006360,GS건설,0.69,-49.02857142857143
017900,광전자,0.69,12.592592592592593
000490,대동공업,0.69,116.21621621621621
000430,대원강업,0.69,1.8064516129032258
005030,부산주공,0.69,-0.4098360655737705
003690,코리안리,0.69,-12.933025404157044
003650,미창석유,0.7,-12.679738562091503
004490,세방전지,0.7,49.93045897079277
025820,이구산업,0.7,202.88713910761155
093050,LF,0.71,-30.020120724346075
000210,대림산업,0.71,-49.36585365853659
002170,삼양통상,0.71,18.969555035128806
005450,신한,0.71,18.969555035128806
006740,영풍제지,0.71,410.88235294117646
014830,유니드,0.71,65.71428571428571
003470,유안타증권,0.71,-12.898089171974522
093230,이아이디,0.71,1443.8144329896907
000880,한화,0.71,-8.771929824561404
032560,황금에스티,0.71,14.668367346938776
015230,대창단조,0.72,-83.6768149882904
009770,삼정펄프,0.72,-24.2152466367713
019490,하이트론,0.72
000240,한국타이어월드와이드,0.72,-24.93975903614458
001070,대한방직,0.73,260.958904109589
002150,도화엔지니어링,0.73,-1.2716763005780347
001020,페이퍼코리아,0.73,8.235294117647058
060980,한라홀딩스,0.73,-25.942857142857143
025000,KPX케미칼,0.74,-8.01526717557252
058850,KTcs,0.74,45.87525150905432
011790,SKC,0.74,198.60335195530726
084870,TBH글로벌,0.74,-37.82608695652174
071840,롯데하이마트,0.74,-74.87674169346195
075180,새론오토모티브,0.74,-18.67572156196944
000180,성창기업지주,0.74,2.3255813953488373
023350,한국종합기술,0.74,22.0
000370,한화손해보험,0.74,-23.011844331641285
069960,현대백화점,0.74,-42.0353982300885
227840,현대코퍼레이션홀딩스,0.74,-29.3125
004130,대덕GDS,0.75,-29.3125
016360,삼성증권,0.75,10.793650793650794
055550,신한지주,0.75,-9.469696969696969
126560,현대에이치씨엔,0.75,-18.842364532019705
083420,KPX그린케미칼,0.76,233.33333333333334
030200,KT,0.76,2.684563758389262
001740,SK네트웍스,0.76,-9.038461538461538
084670,동양고속,0.76,-49.895833333333336
015350,부산가스,0.76,-49.895833333333336
009810,엔케이물산,0.76,35.73667711598746
006980,우성사료,0.76,916.6320166320166
006570,대림통상,0.77,-20.095693779904305
000400,롯데손해보험,0.77,-42.04545454545455
005850,에스엘,0.77,56.8922305764411
015890,태경산업,0.77,64.15770609318996
003680,한성기업,0.77,-0.8605851979345955
037560,CJ헬로비전,0.78,-54.20305676855895
084690,대상홀딩스,0.78,-1.7811704834605597
034020,두산중공업,0.78,89.20863309352518
009680,모토닉,0.78,-8.508508508508509
